Zip code,Local Distric
90001,5.6.7.
90002,6.7.
90003,5.7.8.
90004,3.4.
90005,3.4.
90006,3.4.
90007,3.4.5.7.
90008,3
90010,3.4
90011,5.6.7
90012,4.5.
90013,4.5.
90014,4
90015,4.5.7.
90016,3
90017,4
90018,3.7.
90019,3.4.
90020,3.4.
90021,4.5.
90022,5
90023,4.5.6
90024,3
90025,3
90026,4.5.
90027,4
90029,4
90031,4.5.
90032,5
90033,
90034,
90035,
90036,3
90037,5.7.
90039,4
90040,5.6.
90041,4
90042,4.5.
90043,3.8
90044,7.8.
90045,3
90046,3.4.
90047,3.7.8.
90048,4
90049,1.2.3.
90056,3
90057,4
90058,5.6.
90059,7.8.
90061,7.8.
90062,3.7.
90063,5
90064,3
90065,4.5.
90066,3
90067,3
90068,2.4.
90069,4
90071,4
90073,3
90077,2.3.
90089,7
90094,3
90095,3
90201,6
90210,2.3.4.
90211,3.4.
90245,3
90247,7.8.
90248,7.8.
90249,8
90250,8
90255,6
90262,6.7.
90265,3
90270,6
90272,1.3.
90274,8
90275,8
90280,6.7.
90290,1.3.
90291,3
90292,3
90293,3
90301,3
90302,3
90303,8
90304,3
90305,3.8.
90402,3
90403,3
90404,3
90405,3
90501,8
90502,8
90504,8
90505,8
90506,8
90640,5
90710,8
90717,8
90731,8
90732,8
90744,8
90745,8
90746,8
90747,8
90802,8
90805,8
90806,8
90807,8
90810,8
90813,8
91011,2
91030,4.5.
91040,2
91042,2
91205,4
91206,4
91214,2
91302,1.3.
91303,1
91304,1
91306,1
91307,1
91311,1
91316,1.3.
91321,1.2.
91324,1
91325,1
91326,1
91330,1
91331,1.2.
91335,1
91340,2
91342,1.2.
91343,1
91344,1.2.
91345,1.2.
91352,2
91356,1.3.
91364,1
91367,1
91381,1
91382,1
91387,2
91401,2
91402,1.2.
91403,1.2.3.
91405,1.2.
91406,1.2.
91411,1.2.
91423,2
91436,1.3.
91501,2
91504,2
91505,2.4.
91506,4
91604,2
91605,2
91606,2
91607,2
91608,2.4
91754,5
91801,5
91803,5
90028,4
90038,4.5
91601,2
91602,2
